primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename
somgre1,['rindov'],"['call', 'song']",-33.601,26.7084,Andropadus importunus,Sombre Greenbul,Tim Cockcroft,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/654730,somgre1/XC654730.ogg
somgre1,[],['song'],-6.101528,39.243122,Andropadus importunus,Sombre Greenbul,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.0,https://www.xeno-canto.org/633750,somgre1/XC633750.ogg
somgre1,[],['Song'],-34.3569,18.942833,Andropadus importunus,Sombre Greenbul,Patrik Åberg,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,https://www.xeno-canto.org/28669,somgre1/XC28669.ogg
somtit4,[],"['adult', 'song']",-2.814,37.5034,Melaniparus thruppi,Somali Tit,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/600784,somtit4/XC600784.ogg
somgre1,[],['call'],-23.8024,29.9516,Andropadus importunus,Sombre Greenbul,Dawie de Swardt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/444085,somgre1/XC444085.ogg
somgre1,[],['call'],-34.7125,20.1246,Andropadus importunus,Sombre Greenbul,Keith Blomerley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/202635,somgre1/XC202635.ogg
grywrw1,[],['song'],-3.5573,36.6943,Calamonastes simplex,Gray Wren-Warbler,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,https://www.xeno-canto.org/527931,grywrw1/XC527931.ogg
somgre1,[],['song'],-6.1533,39.5033,Andropadus importunus,Sombre Greenbul,Meena Haribal,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/608054,somgre1/XC608054.ogg
chewea1,['afmdov1'],"['call', 'song']",9.5753,44.0319,Ploceus rubiginosus,Chestnut Weaver,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/172185,chewea1/XC172185.ogg
somgre1,[],['song'],-6.282511,39.408439,Andropadus importunus,Sombre Greenbul,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.0,https://www.xeno-canto.org/633828,somgre1/XC633828.ogg
somgre1,[],['song'],-34.1168,18.8383,Andropadus importunus,Sombre Greenbul,Diego Caiafa,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/195220,somgre1/XC195220.ogg
afdfly1,[],['song'],-7.73,36.48,Muscicapa adusta,African Dusky Flycatcher,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.0,https://www.xeno-canto.org/125305,afdfly1/XC125305.ogg
