primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename
somgre1,[],['call'],-18.2454,35.2392,Andropadus importunus,Sombre Greenbul,Niall Perrins,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/216433,somgre1/XC216433.ogg
somgre1,[],['song'],-6.282511,39.408439,Andropadus importunus,Sombre Greenbul,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/634091,somgre1/XC634091.ogg
afdfly1,[],['call'],-33.4833,26.8333,Muscicapa adusta,African Dusky Flycatcher,Tim Cockcroft,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/324019,afdfly1/XC324019.ogg
somtit4,[],"['adult', 'sex uncertain', 'song']",-2.814,37.5034,Melaniparus thruppi,Somali Tit,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/600788,somtit4/XC600788.ogg
somgre1,['combul2'],['song'],-6.7832,39.2033,Andropadus importunus,Sombre Greenbul,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/440353,somgre1/XC440353.ogg
somgre1,"['grbcam1', 'wbrcha2']",['call'],-25.3797,31.7211,Andropadus importunus,Sombre Greenbul,Faansie Peacock,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/382947,somgre1/XC382947.ogg
somgre1,[],['song'],-6.7832,39.2033,Andropadus importunus,Sombre Greenbul,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.0,https://www.xeno-canto.org/443075,somgre1/XC443075.ogg
somgre1,[],"['adult', 'call', 'sex uncertain']",-23.8531,29.8936,Andropadus importunus,Sombre Greenbul,Dawie de Swardt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/512295,somgre1/XC512295.ogg
chewea1,['afmdov1'],['song'],0.5824,37.5861,Ploceus rubiginosus,Chestnut Weaver,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/234618,chewea1/XC234618.ogg
grywrw1,[],['call'],4.209,38.6929,Calamonastes simplex,Gray Wren-Warbler,Guido O. Keijl,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/294858,grywrw1/XC294858.ogg
afbfly1,"['afrgrp1', 'combul2', 'trobou1']","['adult', 'male', 'song']",6.2446,12.7741,Elminia longicauda,African Blue Flycatcher,Andres Angulo Rubiano,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/530245,afbfly1/XC530245.ogg
somgre1,[],['song'],-29.8075,29.7866,Andropadus importunus,Sombre Greenbul,Raphaël Nussbaumer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,https://www.xeno-canto.org/459516,somgre1/XC459516.ogg
somgre1,[],['song'],-6.282511,39.408439,Andropadus importunus,Sombre Greenbul,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/634036,somgre1/XC634036.ogg
