primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename
barswa,['spwlap1'],['flight call'],34.9015,33.2369,Hirundo rustica,Barn Swallow,Lars Lachmann,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/330211,barswa/XC330211.ogg
barswa,[],['alarm call'],44.8372,-93.3769,Hirundo rustica,Barn Swallow,Michael Hurben,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/568943,barswa/XC568943.ogg
barswa,[],"['adult', 'song']",52.7294,-0.5406,Hirundo rustica,Barn Swallow,Andrew Harrop,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/580258,barswa/XC580258.ogg
barswa,[],['call'],41.0648,1.0813,Hirundo rustica,Barn Swallow,Sidney M,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/564035,barswa/XC564035.ogg
barswa,[],"['flight call', 'song']",50.1022,18.9489,Hirundo rustica,Barn Swallow,Ireneusz Oleksik,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/485999,barswa/XC485999.ogg
barswa,[],['flight call'],41.8,-8.8711,Hirundo rustica,Barn Swallow,Jorge Leitão,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/669916,barswa/XC669916.ogg
barswa,[],['song'],44.2937,2.0769,Hirundo rustica,Barn Swallow,Bernard BOUSQUET,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/268755,barswa/XC268755.ogg
barswa,[],['call'],37.9735,-4.5713,Hirundo rustica,Barn Swallow,Esperanza Poveda,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/461126,barswa/XC461126.ogg
barswa,['barswa'],"['call', 'life stage uncertain', 'sex uncertain']",51.915,16.848,Hirundo rustica,Barn Swallow,Grzegorz Lorek,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/589374,barswa/XC589374.ogg
barswa,[],[''],51.0832,4.2684,Hirundo rustica,Barn Swallow,Gil Lissens,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/734915,barswa/XC734915.ogg
barswa,[],['song'],42.1533,44.7002,Hirundo rustica,Barn Swallow,Lars Lachmann,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/482761,barswa/XC482761.ogg
barswa,[],"['call', 'song']",37.5823,12.8324,Hirundo rustica,Barn Swallow,Giuseppe Speranza,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/423687,barswa/XC423687.ogg
barswa,[],"['call', 'song']",36.198,-82.777,Hirundo rustica,Barn Swallow,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/56419,barswa/XC56419.ogg
barswa,[],['call'],43.3139,-5.3944,Hirundo rustica,Barn Swallow,Carlos Abrahams,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/433813,barswa/XC433813.ogg
barswa,[],[''],30.8664,121.7294,Hirundo rustica,Barn Swallow,Bo Shunqi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/720444,barswa/XC720444.ogg
barswa,[],[''],46.8572,-2.0862,Hirundo rustica,Barn Swallow,Olivier SWIFT,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://xeno-canto.org/698197,barswa/XC698197.ogg
barswa,[],"['adult', 'song']",56.2667,16.4834,Hirundo rustica,Barn Swallow,Patrik Åberg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/511682,barswa/XC511682.ogg
barswa,[],['song'],42.3534,-0.7945,Hirundo rustica,Barn Swallow,Eduardo Realinho,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/574966,barswa/XC574966.ogg
barswa,[],"['call', 'song', 'various calls']",58.7542,23.8439,Hirundo rustica,Barn Swallow,Stanislas Wroza,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/575747,barswa/XC575747.ogg
barswa,[],"['call', 'song']",35.062,-85.166,Hirundo rustica,Barn Swallow,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/135474,barswa/XC135474.ogg
barswa,[],['Adults feeding babies'],54.3767,9.0913,Hirundo rustica,Barn Swallow,Aladdin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/433031,barswa/XC433031.ogg
barswa,[],['song'],51.7037,103.6979,Hirundo rustica,Barn Swallow,Stanislas Wroza,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/486365,barswa/XC486365.ogg
barswa,[],"['call', 'life stage uncertain', 'sex uncertain']",23.5658,-105.8415,Hirundo rustica,Barn Swallow,Manuel Grosselet,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/575357,barswa/XC575357.ogg
barswa,[],['call'],28.6712,-81.592,Hirundo rustica,Barn Swallow,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/452058,barswa/XC452058.ogg
barswa,[],"['flight call', 'song']",41.7993,-8.867,Hirundo rustica,Barn Swallow,Jorge Leitão,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/638092,barswa/XC638092.ogg
barswa,[],"['call', 'flight call']",58.7396,17.8657,Hirundo rustica,Barn Swallow,Alan Dalton,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/673270,barswa/XC673270.ogg
barswa,[],['song'],-33.4305,26.9418,Hirundo rustica,Barn Swallow,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/467012,barswa/XC467012.ogg
barswa,[],"['call', 'female', 'flight call', 'male', 'song']",36.4172,-6.1459,Hirundo rustica,Barn Swallow,José Carlos Sires,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/361241,barswa/XC361241.ogg
barswa,[],['alarm call'],54.4894,-6.3813,Hirundo rustica,Barn Swallow,Anthony McGeehan ,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/247566,barswa/XC247566.ogg
barswa,[],"['call', 'female', 'flight call', 'male', 'song']",36.4172,-6.1459,Hirundo rustica,Barn Swallow,José Carlos Sires,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/361817,barswa/XC361817.ogg
barswa,[],['song'],51.4812,-9.7785,Hirundo rustica,Barn Swallow,Irish Wildlife Sounds,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/687539,barswa/XC687539.ogg
barswa,[],['song'],51.7952,-8.1764,Hirundo rustica,Barn Swallow,Harry Hussey,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/416955,barswa/XC416955.ogg
barswa,[],"['call', 'life stage uncertain', 'sex uncertain']",41.2243,1.7254,Hirundo rustica,Barn Swallow,Sergi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/649113,barswa/XC649113.ogg
barswa,[],['nocturnal flight call'],37.1379,-7.6303,Hirundo rustica,Barn Swallow,Nelson Conceição,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/541615,barswa/XC541615.ogg
barswa,[],[''],44.3195,15.1858,Hirundo rustica,Barn Swallow,Stephan Risch,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/728028,barswa/XC728028.ogg
barswa,[],"['alarm call', 'call', 'flight call']",45.0852,18.1252,Hirundo rustica,Barn Swallow,Domagoj Tomičić,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/667239,barswa/XC667239.ogg
barswa,[],"['adult', 'call']",50.0005,5.2044,Hirundo rustica,Barn Swallow,Michaël Bridoux,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/646908,barswa/XC646908.ogg
barswa,[],['song'],53.3662,22.5953,Hirundo rustica,Barn Swallow,Tero Linjama,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/344095,barswa/XC344095.ogg
barswa,[],['call'],17.9281,102.7539,Hirundo rustica,Barn Swallow,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/607346,barswa/XC607346.ogg
barswa,[],['flight call'],43.0671,6.138,Hirundo rustica,Barn Swallow,Stanislas Wroza,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/371023,barswa/XC371023.ogg
barswa,[],['song'],42.9037,13.9077,Hirundo rustica,Barn Swallow,Dimitri,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/642687,barswa/XC642687.ogg
barswa,[],"['adult', 'call', 'chamado de contato do bando', 'sex uncertain']",-22.5454,-42.4223,Hirundo rustica,Barn Swallow,Ricardo Gagliardi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/549186,barswa/XC549186.ogg
barswa,[],"['call', 'female', 'male']",37.2384,-6.1295,Hirundo rustica,Barn Swallow,José Carlos Sires,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/179356,barswa/XC179356.ogg
barswa,[],"['call', 'juvenile']",19.3055,-99.3884,Hirundo rustica,Barn Swallow,Manuel Grosselet,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/263623,barswa/XC263623.ogg
barswa,[],['call'],42.4822,24.3437,Hirundo rustica,Barn Swallow,Nikolay Sariev,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/239627,barswa/XC239627.ogg
barswa,[],['song'],50.3431,5.1493,Hirundo rustica,Barn Swallow,"Walravens, Eric",Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/486272,barswa/XC486272.ogg
barswa,[],[''],56.0551,-5.5514,Hirundo rustica,Barn Swallow,Paul Howden-Leach,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/735267,barswa/XC735267.ogg
barswa,[],"['group song', 'song']",45.1386,18.3377,Hirundo rustica,Barn Swallow,Domagoj Tomičić,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/670205,barswa/XC670205.ogg
barswa,[],['call'],23.828,120.7929,Hirundo rustica,Barn Swallow,Sunny Tseng,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/567605,barswa/XC567605.ogg
barswa,[],['song'],53.3615,6.2513,Hirundo rustica,Barn Swallow,Ad Postma,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/320886,barswa/XC320886.ogg
barswa,[],['flight call'],63.8314,20.7151,Hirundo rustica,Barn Swallow,Lars Edenius,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/380471,barswa/XC380471.ogg
barswa,[],"['adult', 'alarm call']",43.238,-80.012,Hirundo rustica,Barn Swallow,Thomas Ryder Payne,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/636201,barswa/XC636201.ogg
barswa,[],"['call', 'flight call']",52.456,10.1783,Hirundo rustica,Barn Swallow,Sven Kransel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,http://xeno-canto.org/667843,barswa/XC667843.ogg
barswa,[],"['call', 'song']",-18.0737,-50.1745,Hirundo rustica,Barn Swallow,Marcelo Villegas,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/288339,barswa/XC288339.ogg
barswa,[],['song'],40.6083,-74.3452,Hirundo rustica,Barn Swallow,William Whitehead,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/376077,barswa/XC376077.ogg
barswa,[],['flight call'],51.4522,-9.8189,Hirundo rustica,Barn Swallow,Irish Wildlife Sounds,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/666943,barswa/XC666943.ogg
barswa,[],['flight call'],37.1485,-7.5699,Hirundo rustica,Barn Swallow,Nelson Conceição,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/481652,barswa/XC481652.ogg
barswa,[],['flight call'],30.5564,-96.4243,Hirundo rustica,Barn Swallow,Robert Benson,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/210730,barswa/XC210730.ogg
barswa,[],[''],51.7199,5.9271,Hirundo rustica,Barn Swallow,J. Veeken,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://xeno-canto.org/744925,barswa/XC744925.ogg
